"","date","hour","pressure","wind_direction","wind_speed","rel_humidity","precipitation","A_2","A_3","B_1","B_3","C_1","y"
"1","2016-07-19","06:00",999.7,239,1.9,64,0,1,0,0,0,0,46.36
"2","2016-07-19","06:00",999.7,239,1.9,64,0,0,1,0,0,0,86.2299999999998
"3","2016-07-19","06:00",999.7,239,1.9,64,0,0,0,1,0,0,170.09
"4","2016-07-19","06:00",999.7,239,1.9,64,0,0,0,0,1,0,145.94
"5","2016-07-19","06:00",999.7,239,1.9,64,0,0,0,0,0,1,160.38
"6","2016-07-19","06:00",999.7,239,1.9,64,0,0,0,0,0,0,159.04435
"7","2016-07-19","06:20",999.7,239,1.9,64,0,1,0,0,0,0,48.5900000000001
"8","2016-07-19","06:20",999.7,239,1.9,64,0,0,1,0,0,0,89.8500000000002
"9","2016-07-19","06:20",999.7,239,1.9,64,0,0,0,1,0,0,94.5059000000001
"10","2016-07-19","06:20",999.7,239,1.9,64,0,0,0,0,1,0,127.35
"11","2016-07-19","06:20",999.7,239,1.9,64,0,0,0,0,0,1,142.747
"12","2016-07-19","06:20",999.7,239,1.9,64,0,0,0,0,0,0,161.74
"13","2016-07-19","06:40",999.7,239,1.9,64,0,1,0,0,0,0,59
"14","2016-07-19","06:40",999.7,239,1.9,64,0,0,1,0,0,0,147.35
"15","2016-07-19","06:40",999.7,239,1.9,64,0,0,0,1,0,0,133.9172
"16","2016-07-19","06:40",999.7,239,1.9,64,0,0,0,0,1,0,97.2
"17","2016-07-19","06:40",999.7,239,1.9,64,0,0,0,0,0,1,134.56
"18","2016-07-19","06:40",999.7,239,1.9,64,0,0,0,0,0,0,223.81
"19","2016-07-19","07:00",999.7,239,1.9,64,0,1,0,0,0,0,64.6800000000001
"20","2016-07-19","07:00",999.7,239,1.9,64,0,0,1,0,0,0,101.39
"21","2016-07-19","07:00",999.7,239,1.9,64,0,0,0,1,0,0,65.4099999999999
"22","2016-07-19","07:00",999.7,239,1.9,64,0,0,0,0,1,0,118.43
"23","2016-07-19","07:00",999.7,239,1.9,64,0,0,0,0,0,1,182.91
"24","2016-07-19","07:00",999.7,239,1.9,64,0,0,0,0,0,0,135.92
"25","2016-07-19","07:20",999.7,239,1.9,64,0,1,0,0,0,0,85.6800000000001
"26","2016-07-19","07:20",999.7,239,1.9,64,0,0,1,0,0,0,124.29
"27","2016-07-19","07:20",999.7,239,1.9,64,0,0,0,1,0,0,102.7897
"28","2016-07-19","07:20",999.7,239,1.9,64,0,0,0,0,1,0,82.6300000000001
"29","2016-07-19","07:20",999.7,239,1.9,64,0,0,0,0,0,1,175.8348
"30","2016-07-19","07:20",999.7,239,1.9,64,0,0,0,0,0,0,236.12
"31","2016-07-19","07:40",999.7,239,1.9,64,0,1,0,0,0,0,58.97
"32","2016-07-19","07:40",999.7,239,1.9,64,0,0,1,0,0,0,95.0699999999999
"33","2016-07-19","07:40",999.7,239,1.9,64,0,0,0,1,0,0,109.4977
"34","2016-07-19","07:40",999.7,239,1.9,64,0,0,0,0,1,0,110.5
"35","2016-07-19","07:40",999.7,239,1.9,64,0,0,0,0,0,1,180.11
"36","2016-07-19","07:40",999.7,239,1.9,64,0,0,0,0,0,0,159.256
"37","2016-07-19","08:00",999.7,239,1.9,64,0,1,0,0,0,0,75.4899999999998
"38","2016-07-19","08:00",999.7,239,1.9,64,0,0,1,0,0,0,137.38
"39","2016-07-19","08:00",999.7,239,1.9,64,0,0,0,1,0,0,112.9016
"40","2016-07-19","08:00",999.7,239,1.9,64,0,0,0,0,1,0,125.76
"41","2016-07-19","08:00",999.7,239,1.9,64,0,0,0,0,0,1,151.39
"42","2016-07-19","08:00",999.7,239,1.9,64,0,0,0,0,0,0,120.73
"43","2016-07-19","08:20",999.7,239,1.9,64,0,1,0,0,0,0,80.21
"44","2016-07-19","08:20",999.7,239,1.9,64,0,0,1,0,0,0,165.48
"45","2016-07-19","08:20",999.7,239,1.9,64,0,0,0,1,0,0,128.75
"46","2016-07-19","08:20",999.7,239,1.9,64,0,0,0,0,1,0,141.33
"47","2016-07-19","08:20",999.7,239,1.9,64,0,0,0,0,0,1,129.1
"48","2016-07-19","08:20",999.7,239,1.9,64,0,0,0,0,0,0,143.37
"49","2016-07-19","08:40",999.7,239,1.9,64,0,1,0,0,0,0,63.4499999999999
"50","2016-07-19","08:40",999.7,239,1.9,64,0,0,1,0,0,0,136.68
"51","2016-07-19","08:40",999.7,239,1.9,64,0,0,0,1,0,0,71.8900000000001
"52","2016-07-19","08:40",999.7,239,1.9,64,0,0,0,0,1,0,80.9399999999998
"53","2016-07-19","08:40",999.7,239,1.9,64,0,0,0,0,0,1,172.156
"54","2016-07-19","08:40",999.7,239,1.9,64,0,0,0,0,0,0,205.0978
"55","2016-07-19","09:00",998.7,218,2,69,0,1,0,0,0,0,78.0500000000001
"56","2016-07-19","09:00",998.7,218,2,69,0,0,1,0,0,0,192.68
"57","2016-07-19","09:00",998.7,218,2,69,0,0,0,1,0,0,116.93
"58","2016-07-19","09:00",998.7,218,2,69,0,0,0,0,1,0,165.29
"59","2016-07-19","09:00",998.7,218,2,69,0,0,0,0,0,1,200.87
"60","2016-07-19","09:00",998.7,218,2,69,0,0,0,0,0,0,174.0698
"61","2016-07-19","09:20",998.7,218,2,69,0,1,0,0,0,0,69.04
"62","2016-07-19","09:20",998.7,218,2,69,0,0,1,0,0,0,159.12
"63","2016-07-19","09:20",998.7,218,2,69,0,0,0,1,0,0,104.33
"64","2016-07-19","09:20",998.7,218,2,69,0,0,0,0,1,0,78.1300000000001
"65","2016-07-19","09:20",998.7,218,2,69,0,0,0,0,0,1,164.52
"66","2016-07-19","09:20",998.7,218,2,69,0,0,0,0,0,0,165.1447
"67","2016-07-19","09:40",998.7,218,2,69,0,1,0,0,0,0,56.8900000000001
"68","2016-07-19","09:40",998.7,218,2,69,0,0,1,0,0,0,129.28
"69","2016-07-19","09:40",998.7,218,2,69,0,0,0,1,0,0,123.211
"70","2016-07-19","09:40",998.7,218,2,69,0,0,0,0,1,0,117.83
"71","2016-07-19","09:40",998.7,218,2,69,0,0,0,0,0,1,172.4463
"72","2016-07-19","09:40",998.7,218,2,69,0,0,0,0,0,0,139.7
"73","2016-07-19","15:00",1001,202,1.5,80,0,1,0,0,0,0,57.3400000000001
"74","2016-07-19","15:00",1001,202,1.5,80,0,0,1,0,0,0,106.76
"75","2016-07-19","15:00",1001,202,1.5,80,0,0,0,1,0,0,100.808
"76","2016-07-19","15:00",1001,202,1.5,80,0,0,0,0,1,0,115.29
"77","2016-07-19","15:00",1001,202,1.5,80,0,0,0,0,0,1,144.53
"78","2016-07-19","15:00",1001,202,1.5,80,0,0,0,0,0,0,156.1
"79","2016-07-19","15:20",1001,202,1.5,80,0,1,0,0,0,0,72.3100000000001
"80","2016-07-19","15:20",1001,202,1.5,80,0,0,1,0,0,0,102.51
"81","2016-07-19","15:20",1001,202,1.5,80,0,0,0,1,0,0,163.81
"82","2016-07-19","15:20",1001,202,1.5,80,0,0,0,0,1,0,129.47
"83","2016-07-19","15:20",1001,202,1.5,80,0,0,0,0,0,1,257.2
"84","2016-07-19","15:20",1001,202,1.5,80,0,0,0,0,0,0,185.51
"85","2016-07-19","15:40",1001,202,1.5,80,0,1,0,0,0,0,58.7399999999999
"86","2016-07-19","15:40",1001,202,1.5,80,0,0,1,0,0,0,112.32
"87","2016-07-19","15:40",1001,202,1.5,80,0,0,0,1,0,0,90.0100000000002
"88","2016-07-19","15:40",1001,202,1.5,80,0,0,0,0,1,0,120.76
"89","2016-07-19","15:40",1001,202,1.5,80,0,0,0,0,0,1,182.6971
"90","2016-07-19","15:40",1001,202,1.5,80,0,0,0,0,0,0,180.3407
"91","2016-07-19","16:00",1001,202,1.5,80,0,1,0,0,0,0,59.6400000000001
"92","2016-07-19","16:00",1001,202,1.5,80,0,0,1,0,0,0,126.61
"93","2016-07-19","16:00",1001,202,1.5,80,0,0,0,1,0,0,125.1976
"94","2016-07-19","16:00",1001,202,1.5,80,0,0,0,0,1,0,116.07
"95","2016-07-19","16:00",1001,202,1.5,80,0,0,0,0,0,1,144.7
"96","2016-07-19","16:00",1001,202,1.5,80,0,0,0,0,0,0,183.07
"97","2016-07-19","16:20",1001,202,1.5,80,0,1,0,0,0,0,51.97
"98","2016-07-19","16:20",1001,202,1.5,80,0,0,1,0,0,0,95.45
"99","2016-07-19","16:20",1001,202,1.5,80,0,0,0,1,0,0,105.64
"100","2016-07-19","16:20",1001,202,1.5,80,0,0,0,0,1,0,152.5
"101","2016-07-19","16:20",1001,202,1.5,80,0,0,0,0,0,1,176.54
"102","2016-07-19","16:20",1001,202,1.5,80,0,0,0,0,0,0,249.18
"103","2016-07-19","16:40",1001,202,1.5,80,0,1,0,0,0,0,61.6000000000001
"104","2016-07-19","16:40",1001,202,1.5,80,0,0,1,0,0,0,116.14
"105","2016-07-19","16:40",1001,202,1.5,80,0,0,0,1,0,0,122.31
"106","2016-07-19","16:40",1001,202,1.5,80,0,0,0,0,1,0,101.66
"107","2016-07-19","16:40",1001,202,1.5,80,0,0,0,0,0,1,150.56
"108","2016-07-19","16:40",1001,202,1.5,80,0,0,0,0,0,0,95.5
"109","2016-07-19","17:00",1001,202,1.5,80,0,1,0,0,0,0,92.47
"110","2016-07-19","17:00",1001,202,1.5,80,0,0,1,0,0,0,121.03
"111","2016-07-19","17:00",1001,202,1.5,80,0,0,0,1,0,0,115.258
"112","2016-07-19","17:00",1001,202,1.5,80,0,0,0,0,1,0,139.36
"113","2016-07-19","17:00",1001,202,1.5,80,0,0,0,0,0,1,173.78
